charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Energy Drink
# Portion 1 cup = 248 g
Nutrient, Amount, Unit, DV
"Calories", 106.64, KCAL, 
"Fat", 0.00, G, 0%
"Protein", 1.14, G, 2%
"Carbohydrate", 25.37, G, 9%
"Alcohol, ethyl", 0.0, G, 
"Water", 221.27, G, 
"Caffeine", 71.92, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 25.35, G, 
"Fiber", 0.0, G, 0%
"Calcium, Ca", 14.88, MG, 1%
"Iron, Fe", 0.15, MG, 1%
"Magnesium, Mg", 47.12, MG, 12%
"Phosphorus, P", 0.00, MG, 0%
"Potassium, K", 7.44, MG, 0%
"Sodium, Na", 96.72, MG, 4%
"Zinc, Zn", 0.02, MG, 0%
"Copper, Cu", 0.005, MG, 1%
"Selenium, Se", 0.5, UG, 1%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 0.00, UG, 0%
"Carotene, beta", 0.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.00, MG, 0%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 0.00, UG, 
"Vitamin C", 0.0, MG, 0%
"Thiamin", 0.099, MG, 8%
"Riboflavin", 0.255, MG, 20%
"Niacin", 24.371, MG, 152%
"Vitamin B6", 5.374, MG, 413%
"Folate", 0.00, UG, 
"Vitamin B12", 4.89, UG, 204%
"Choline", 0.7, MG, 
"Vitamin K", 0.0, UG, 0%
"Folic acid", 0.00, UG, 
"Folate, food", 0.00, UG, 
"Folate, DFE", 0.00, UG, 0%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 4.86, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.000, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.000, G, 
"Octadecanoic acid", 0.000, G, 
"Octadecenoic acid", 0.000, G, 
"Octadecadienoic acid", 0.000, G, 
"Octadecatrienoic acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.000, G, 
"Polyunsaturated fatty acids", 0.000, G, 
"Tocopherol, alpha", 0.00, MG, 
"Net carbs", 25.37, g, 
# Downloaded from https://www.nutritionvalue.org 
