charset=utf-8,# Downloaded from https://www.nutritionvalue.org 
# Energy drink (Rockstar)
# Portion 1 cup = 248 g
Nutrient, Amount, Unit, DV
"Calories", 143.84, KCAL, 
"Fat", 0.55, G, 1%
"Protein", 0.84, G, 2%
"Carbohydrate", 31.50, G, 11%
"Alcohol, ethyl", 0.0, G, 
"Water", 215.96, G, 
"Caffeine", 81.84, MG, 
"Theobromine", 0.00, MG, 
"Sugars", 30.40, G, 
"Fiber", 0.0, G, 0%
"Calcium, Ca", 2.48, MG, 0%
"Iron, Fe", 0.12, MG, 1%
"Magnesium, Mg", 0.00, MG, 0%
"Phosphorus, P", 0.00, MG, 0%
"Potassium, K", 14.88, MG, 0%
"Sodium, Na", 39.68, MG, 2%
"Zinc, Zn", 0.12, MG, 1%
"Copper, Cu", 0.000, MG, 0%
"Selenium, Se", 0.0, UG, 0%
"Retinol", 0.00, UG, 
"Vitamin A, RAE", 0.00, UG, 0%
"Carotene, beta", 0.00, UG, 
"Carotene, alpha", 0.00, UG, 
"Vitamin E", 0.00, MG, 0%
"Vitamin D", 0.00, UG, 0%
"Cryptoxanthin, beta", 0.00, UG, 
"Lycopene", 0.00, UG, 
"Lutein + zeaxanthin", 0.00, UG, 
"Vitamin C", 0.0, MG, 0%
"Thiamin", 0.000, MG, 0%
"Riboflavin", 3.968, MG, 305%
"Niacin", 24.354, MG, 152%
"Vitamin B6", 3.355, MG, 258%
"Folate", 0.00, UG, 
"Vitamin B12", 9.35, UG, 390%
"Choline", 0.7, MG, 
"Vitamin K", 0.0, UG, 0%
"Folic acid", 0.00, UG, 
"Folate, food", 0.00, UG, 
"Folate, DFE", 0.00, UG, 0%
"Vitamin E, added", 0.00, MG, 
"Vitamin B12, added", 9.35, UG, 
"Cholesterol", 0.00, MG, 0%
"Saturated fatty acids", 0.000, G, 0%
"Butanoic acid", 0.000, G, 
"Hexanoic acid", 0.000, G, 
"Octanoic acid", 0.000, G, 
"Decanoic acid", 0.000, G, 
"Dodecanoic acid", 0.000, G, 
"Tetradecanoic acid", 0.000, G, 
"Hexadecanoic acid", 0.000, G, 
"Octadecanoic acid", 0.000, G, 
"Octadecenoic acid", 0.000, G, 
"Octadecadienoic acid", 0.000, G, 
"Octadecatrienoic acid", 0.000, G, 
"Eicosatetraenoic acid", 0.000, G, 
"Docosahexaenoic n-3 acid (DHA)", 0.00, G, 
"Hexadecenoic acid", 0.000, G, 
"Octadecatetraenoic acid", 0.000, G, 
"Eicosenoic acid", 0.000, G, 
"Eicosapentaenoic n-3 acid (EPA)", 0.00, G, 
"Docosenoic acid", 0.000, G, 
"Docosapentaenoic n-3 acid (DPA)", 0.00, G, 
"Monounsaturated fatty acids", 0.000, G, 
"Polyunsaturated fatty acids", 0.000, G, 
"Tocopherol, alpha", 0.00, MG, 
"Net carbs", 31.5, g, 
# Downloaded from https://www.nutritionvalue.org 
